DATE,FRGSHPUSM649NCIS,oil price (starts 10/91),exchange rate (CH-US),US CPI,US PMI,China PMI
1/1/1990,1,,4.7339,127.50,47.2,
2/1/1990,0.999,,4.7339,128.00,49.1,
3/1/1990,1,,4.7339,128.60,49.9,
4/1/1990,0.979,,4.7339,128.90,50,
5/1/1990,0.973,,4.7339,129.10,49.5,
6/1/1990,0.966,,4.7339,129.90,49.2,
7/1/1990,0.933,,4.7339,130.50,46.6,
8/1/1990,0.981,,4.7339,131.60,46.1,
9/1/1990,0.996,,4.7342,132.50,44.5,
10/1/1990,1.005,,4.7339,133.40,43.2,
11/1/1990,1.004,,4.9714,133.70,41.3,
12/1/1990,0.927,,5.2352,134.20,40.8,
1/1/1991,0.897,,5.2352,134.70,39.2,
2/1/1991,0.913,,5.2352,134.80,39.4,
3/1/1991,0.932,,5.2352,134.80,40.7,
4/1/1991,0.933,,5.2767,135.10,42.8,
5/1/1991,0.908,,5.3257,135.60,44.5,
6/1/1991,0.927,,5.3667,136.00,50.3,
7/1/1991,0.896,,5.3693,136.20,50.6,
8/1/1991,0.893,,5.3725,136.60,52.9,
9/1/1991,0.925,,5.3869,137.00,54.9,
10/1/1991,0.936,21.47,5.3917,137.20,53.1,
11/1/1991,0.92,20.77,5.3994,137.80,49.5,
12/1/1991,0.898,17.75,5.4232,138.20,46.8,
1/1/1992,0.877,17.38,5.4618,138.30,47.3,
2/1/1992,0.928,17.62,5.4776,138.60,52.7,
3/1/1992,0.923,17.45,5.4871,139.10,54.6,
4/1/1992,0.918,18.63,5.5098,139.40,52.6,
5/1/1992,0.873,19.5,5.5182,139.70,55.7,
6/1/1992,0.901,20.83,5.4893,140.10,53.6,
7/1/1992,0.856,20.17,5.4564,140.50,53.9,
8/1/1992,0.897,19.62,5.4417,140.80,53.4,
9/1/1992,0.905,20.15,5.5048,141.10,49.7,
10/1/1992,0.928,20.08,5.5486,141.70,50.3,
11/1/1992,0.932,18.88,5.6134,142.10,53.6,
12/1/1992,0.917,17.93,5.8106,142.30,54.2,
1/1/1993,0.909,17.22,5.7796,142.80,55.8,
2/1/1993,0.95,18.17,5.7874,143.10,55.2,
3/1/1993,0.953,18.47,5.7455,143.30,53.5,
4/1/1993,0.942,18.43,5.7202,143.80,50.2,
5/1/1993,0.933,18.17,5.7392,144.20,51.2,
6/1/1993,0.917,17.47,5.7504,144.30,49.6,
7/1/1993,0.913,16.32,5.7756,144.50,50.2,
8/1/1993,0.93,16.48,5.7906,144.80,50.7,
