WeekNum,OracleProf,KnnPresProf,KnnAvgProf,OracleOrdered,KnnPresOrdered,KnnAvgOrdered
147.0,5.757428239441764e7,5.745000567671333e7,5.73089033186409e7,144040.437974845,145276.048331157,143365.810896577
148.0,5.70368827986316e7,5.6775296118386924e7,5.699245214104289e7,142697.045259991,145311.16467641701,143137.591411441
149.0,6.681569792058717e7,5.691200615577884e7,5.6882422496761434e7,167148.957962561,142318.66978446502,142243.16769744176
150.0,6.621381875161318e7,5.693374647221242e7,5.834486084639414e7,165645.42624912196,142374.13618206498,145907.1695513392
151.0,6.812660843225195e7,6.536770164367155e7,6.0234484868025176e7,170426.57206538197,163485.720580522,150632.9552741646
152.0,6.843650917869163e7,6.5870292430258386e7,6.236146328402968e7,171200.95306019695,164741.08009956102,155950.48117703816
153.0,6.895556877223083e7,6.724125833958668e7,6.448350703734611e7,172501.706847218,168178.27369421202,161266.4831621886
154.0,6.793215394215268e7,6.755473455816764e7,6.681104748652966e7,169940.78621408297,168982.187113507,167111.197457768
155.0,6.911522238689713e7,6.758757836896968e7,6.703237897394839e7,172899.49620259396,169045.773468747,167653.41513407836
156.0,6.88541256087404e7,6.802108807003248e7,6.75828841268192e7,172246.22039567798,170141.72237815798,169039.30132281678
